Applicant SSN,Credit Score,Number of Credit Accounts,Number of Derogatory Marks
479-20-0990,590,13,1
758-23-0653,510,1,0
391-04-6943,694,15,0
653-10-4104,419,4,0
441-07-2262,850,0,0
867-87-7855,624,5,1
630-32-8333,655,10,0
891-44-9346,741,6,0
018-17-2624,845,11,0
,465,14,4
312-27-4744,572,0,0
805-44-5440,843,3,0
048-70-3079,567,5,1
194-94-2714,741,8,2
411-41-9253,668,8,1
820-09-2741,560,7,1
229-87-2262,759,6,0
584-38-7284,781,6,1
357-72-7785,835,3,1
355-04-9945,726,5,0
850-25-8658,750,11,0
476-46-3981,463,12,1
162-04-8046,516,10,1
710-79-4368,836,6,2
284-36-2668,688,15,3
099-15-7757,683,1,0
827-71-4627,740,5,1
754-16-1956,838,1,0
282-70-6519,850,7,2
708-38-7944,523,7,1
006-34-9011,850,1,0
364-44-2448,651,11,1
754-86-2929,696,11,2
732-12-2913,783,6,0
746-02-3985,513,10,3
440-48-0694,700,10,0
234-85-8322,684,14,0
587-77-3109,385,4,1
635-88-4415,564,4,1
190-56-7784,605,0,0
111-17-7634,808,11,3
033-61-8304,715,5,1
563-49-6569,850,10,2
021-49-2471,488,12,2
814-73-7722,792,10,3
648-12-3442,744,10,0
117-80-9547,642,1,0
106-34-9310,790,11,3
155-37-5288,850,9,1
885-91-3792,663,3,0
055-77-1696,466,14,1
386-91-5176,550,0,0
788-67-4909,719,12,3
293-97-2018,633,14,1
461-18-8093,736,0,0
784-13-0178,538,0,0
651-98-0188,802,6,2
212-87-5388,569,6,2
657-78-7540,406,3,0
779-12-8007,841,7,2
369-31-7438,770,8,1
496-96-2837,718,0,0
828-11-7157,702,1,0
122-15-6637,756,0,0
884-98-4704,455,14,4
542-48-6414,745,3,0
051-81-2410,543,2,0
673-41-6515,732,12,4
270-42-0807,719,12,3
196-31-1100,700,6,2
847-85-3637,850,1,0
307-74-6686,482,3,1
044-86-5770,689,6,1
340-43-5877,533,7,2
530-74-4695,688,6,2
396-30-0054,682,10,1
589-61-4269,611,7,1
568-88-2723,813,0,0
034-95-7245,500,4,0
099-60-3475,719,9,3
,703,15,2
822-45-1863,586,4,1
177-10-7024,850,9,0
889-33-4117,656,5,1
653-97-1585,536,8,1
484-46-3892,726,9,2
309-43-6839,836,0,0
734-87-7300,731,12,4
891-03-8054,363,3,1
838-67-3805,534,1,0
460-74-5134,775,4,0
384-97-2719,465,1,0
143-21-4379,519,2,0
027-37-2470,850,3,1
030-09-6327,726,5,1
182-08-8304,662,6,2
167-97-6549,845,14,3
178-95-9647,711,10,2
559-22-0079,370,9,0
356-73-1475,643,14,0
003-06-1805,553,10,1
182-41-7299,624,12,2
426-89-2074,403,12,4
304-05-1492,452,15,3
031-74-9420,569,9,0
181-85-4892,651,10,1
850-07-3530,795,0,0
700-13-7701,850,7,1
302-28-4820,850,8,0
103-40-5764,850,14,1
820-69-4221,752,14,1
565-22-1564,657,10,1
200-10-5506,787,8,2
255-64-1765,468,11,1
335-24-7545,687,0,0
090-78-0336,850,14,2
654-42-1541,550,4,0
153-38-0147,850,13,1
718-04-7137,664,3,0
413-25-6838,736,12,4
246-05-7893,608,7,2
800-45-7959,633,13,4
237-08-3115,572,3,0
389-94-7806,399,2,0
316-40-5242,607,14,3
660-77-6388,714,1,0
653-53-9532,663,1,0
800-66-8620,544,14,0
160-10-8193,541,5,1
242-39-1552,850,2,0
050-46-1857,473,11,3
278-62-9009,353,11,1
275-49-2198,470,7,1
434-10-4149,772,10,3
,764,8,2
552-31-6781,771,7,2
657-87-3283,543,9,0
661-05-5674,432,6,0
005-10-7808,718,9,0
775-95-3553,655,8,2
365-90-4410,838,9,2
755-66-5397,572,13,2
862-50-1267,850,14,0
593-07-5485,629,10,1
313-24-5577,824,12,3
423-80-1604,704,9,0
646-44-2671,547,15,1
017-10-0444,684,9,2
238-08-8855,600,11,1
401-19-6791,638,2,0
737-86-8986,445,6,2
376-01-2639,822,13,4
387-12-8316,850,14,1
844-10-8200,698,8,1
397-48-3429,669,1,0
357-56-9974,735,7,2
561-75-7600,833,5,1
786-25-5096,738,2,0
725-11-8654,850,13,0
711-56-4754,575,2,0
061-20-6571,652,4,0
335-89-5271,696,1,0
516-64-7248,718,4,1
836-35-1303,850,9,3
239-93-0831,697,0,0
840-72-0724,688,3,1
894-36-2758,850,14,2
038-26-8685,576,12,0
028-14-3967,645,9,0
823-82-3356,566,9,3
,850,0,0
327-84-4344,547,6,1
354-67-3265,826,10,2
647-62-8845,786,8,1
580-55-2818,779,9,1
004-14-3454,695,6,1
840-69-9128,398,9,1
830-21-5360,388,2,0
279-77-8773,677,3,1
469-18-9744,850,3,1
343-74-7135,510,12,2
089-02-2694,736,9,1
248-95-8353,698,3,0
152-20-4803,694,2,0
238-72-4915,745,15,2
548-46-7266,811,4,1
418-58-0845,785,9,1
723-07-0895,828,9,3
164-85-5015,724,10,2
212-24-7546,602,13,0
078-28-2844,792,11,1
150-41-3943,642,13,3
883-16-7497,600,11,2
872-42-7871,820,13,1
783-70-3915,634,15,2
498-93-4411,633,3,1
497-98-1086,451,3,1
860-24-5399,799,10,0
126-44-3374,850,11,2
,850,0,0
786-26-1852,840,0,0
648-38-2001,474,11,3
343-40-2807,721,14,1
073-94-7111,687,6,2
602-47-2077,835,11,2
870-36-2711,440,10,2
484-87-0847,602,1,0
032-84-9404,800,2,0
141-11-0635,625,9,0
351-51-8906,850,1,0
897-59-1812,850,6,1
649-33-3425,766,14,3
183-23-1837,850,11,3
275-87-1409,533,11,1
532-23-9053,774,6,1
044-37-6772,749,14,4
636-37-2253,554,11,2
322-49-3393,583,8,1
282-50-4401,850,1,0
,778,6,0
746-09-3914,716,7,1
227-22-6334,476,12,0
633-14-6618,581,3,0
798-64-8867,547,12,1
044-90-6851,530,13,4
521-10-5380,633,7,1
071-87-4644,788,15,0
809-13-0216,782,0,0
041-83-9225,537,15,3
399-79-1984,850,6,1
128-45-8181,616,13,3
,752,9,3
,850,13,2
258-24-6216,822,9,3
180-25-0708,653,0,0
488-71-3143,565,12,4
711-57-6054,533,14,3
595-82-5648,730,13,1
002-30-8360,707,15,0
315-35-7151,850,10,3
228-79-5942,610,10,3
317-17-4988,850,0,0
087-33-7579,829,4,1
689-77-8655,586,8,2
734-21-5167,719,15,2
537-19-6134,761,2,0
626-89-3543,470,6,2
320-08-4245,532,15,0
437-55-3234,680,10,0
677-74-2754,463,6,1
321-95-4630,591,11,3
122-67-8111,631,3,1
705-04-4217,695,3,1
076-24-9634,591,12,3
,662,8,1
291-77-0430,850,7,0
394-54-8220,360,6,1
104-81-9252,411,5,1
003-45-1679,759,4,1
869-76-3120,828,9,1
219-27-8592,718,14,3
868-14-4277,787,3,1
092-73-0113,646,2,0
134-33-1962,655,9,0
496-36-2056,796,9,3
086-48-0876,707,15,0
652-78-0374,759,7,1
763-66-2413,850,3,0
393-39-8625,481,10,0
867-53-3143,669,2,0
650-85-9361,526,5,0
651-62-1511,689,5,0
852-15-4133,537,11,3
412-30-6705,529,6,0
375-77-5788,692,15,1
396-56-0671,765,3,0
407-69-5872,840,7,1
449-48-7692,604,15,4
216-07-6567,484,9,3
037-02-0339,782,10,1
061-79-1880,566,9,0
004-59-2879,690,4,0
597-33-4195,720,11,1
350-52-1090,665,1,0
339-77-4871,573,7,1
223-11-5625,790,5,1
318-48-5975,611,6,2
150-74-7985,850,6,2
004-79-3574,796,1,0
445-38-2321,590,1,0
,830,13,1
205-41-0629,850,0,0
499-22-7704,739,0,0
418-94-1949,641,9,0
577-87-4099,467,8,0
209-48-4734,729,13,0
588-63-0614,753,0,0
078-37-0043,735,10,2
363-76-5663,752,8,0
232-13-9050,716,9,3
769-76-8775,720,2,0
883-83-0931,819,1,0
683-58-2840,596,3,1
356-70-8863,824,15,2
466-34-2319,353,11,3
,563,10,1
597-41-4322,850,14,4
550-28-4776,837,15,3
104-05-2592,300,0,0
509-44-6040,826,15,0
768-35-7449,676,15,4
190-77-2159,850,15,0
222-98-8404,658,2,0
082-15-5473,744,8,2
450-34-0119,442,12,4
817-67-9013,607,15,5
325-54-1489,798,3,1
660-20-2107,800,12,2
843-67-2615,850,2,0
052-73-7988,543,8,2
372-87-6607,628,11,1
483-75-1262,765,9,1
221-61-7564,486,3,0
800-84-4332,681,1,0
651-92-8413,469,9,1
679-88-3583,749,2,0
847-87-9821,762,7,2
467-09-1310,645,6,1
821-72-9178,850,2,0
338-68-8599,610,0,0
443-21-7486,652,15,1
298-91-3982,850,1,0
486-88-7053,661,1,0
249-96-5347,850,1,0
385-20-4624,588,4,0
618-03-4306,692,14,0
614-37-4800,731,14,3
553-42-2989,748,0,0
255-11-3968,730,10,3
,487,15,2
100-90-8581,645,11,3
095-95-8507,820,5,1
,789,3,0
179-63-6738,594,3,0
467-01-8016,755,12,1
501-30-7347,665,5,1
374-90-5511,850,10,2
197-23-7908,833,5,1
224-73-9167,557,12,4
842-34-7829,530,3,1
258-24-2269,766,12,1
394-86-9578,687,8,1
649-48-8585,675,15,0
066-05-1617,390,13,1
497-91-6895,576,9,3
869-50-3330,720,3,0
446-68-2122,558,10,2
025-64-9373,850,0,0
697-95-8589,850,13,3
118-06-2243,526,3,1
696-13-8305,548,13,0
214-56-5568,476,14,3
078-14-8034,691,9,3
,850,8,2
810-62-1295,650,7,2
,527,5,1
650-39-1819,610,3,0
819-52-0040,422,8,0
191-97-5184,443,14,1
601-12-9525,715,8,2
677-59-8855,582,8,1
784-94-7132,787,5,1
726-87-3043,850,6,1
325-65-8779,671,3,0
103-58-1451,591,15,0
814-97-6448,576,5,1
610-06-9635,653,7,1
004-64-8997,691,3,0
896-90-3937,677,11,3
825-61-7327,725,14,1
335-62-7334,821,4,0
338-34-5907,633,5,0
,618,6,2
167-23-3148,601,15,3
642-74-1954,524,12,2
639-76-0064,732,1,0
163-06-3633,755,12,1
584-17-0025,557,2,0
253-80-3629,632,13,4
454-18-1547,565,8,2
083-31-3981,850,14,1
106-07-3106,850,10,2
760-27-5181,794,3,0
540-84-0456,769,0,0
787-35-9796,447,0,0
778-59-4328,850,2,0
684-89-4448,675,14,4
441-32-9973,401,1,0
895-09-4589,737,6,0
362-42-2639,850,8,0
646-78-1514,719,6,0
849-23-8527,671,7,1
664-68-9857,462,3,0
634-77-3003,850,7,0
830-40-5043,796,11,1
056-48-4396,705,8,1
664-53-0826,718,7,1
801-14-4258,615,7,2
202-94-2595,669,5,0
047-70-3645,711,6,0
108-95-3823,838,7,2
763-80-5476,621,15,1
125-12-6359,590,3,0
618-26-6564,639,0,0
273-86-6326,681,5,1
,629,13,3
510-77-7980,850,1,0
174-32-1352,635,9,0
411-63-6774,850,11,0
571-69-3394,706,12,3
718-32-1475,552,0,0
239-05-7602,651,13,3
310-43-2586,850,1,0
034-83-8982,583,4,1
158-10-9925,731,12,1
602-22-5404,638,13,4
656-94-9713,718,13,0
825-13-4195,732,0,0
712-22-2292,580,1,0
,726,14,0
638-14-0420,613,9,3
001-17-9084,771,3,1
380-34-1362,585,15,1
481-09-9136,535,10,3
258-58-5075,799,2,0
076-44-3560,733,8,2
108-48-5078,769,7,1
555-83-3407,647,12,0
104-91-4435,850,11,0
820-78-6175,695,10,3
,605,12,1
710-22-5262,702,14,1
544-56-7323,683,6,0
682-93-6372,752,7,1
622-25-1566,691,14,0
280-55-4563,590,9,3
034-24-3485,449,9,2
246-14-4908,800,2,0
793-71-5195,631,15,5
280-51-3684,643,6,0
451-12-6770,691,0,0
088-49-4892,738,0,0
020-83-2751,768,1,0
829-28-8136,500,1,0
443-20-1162,828,7,0
706-28-5931,644,6,1
689-58-3031,850,9,0
830-04-8660,621,0,0
650-13-4516,463,15,4
,709,11,0
868-69-3491,699,12,4
241-12-0200,744,14,2
117-15-6426,732,6,1
597-13-7089,572,7,2
091-44-1259,520,14,1
347-75-4763,790,3,1
415-01-5771,850,4,0
608-88-0049,832,2,0
777-70-2610,563,7,0
630-17-9649,656,1,0
109-78-7566,754,15,4
074-50-2388,758,6,1
786-93-6686,808,12,2
387-91-7747,848,14,1
697-39-1741,496,6,2
377-23-6983,845,4,1
337-47-1929,768,7,1
527-04-8850,701,14,1
792-58-7412,464,0,0
284-21-3660,850,7,2
463-94-7971,555,7,2
256-51-5320,704,12,3
185-13-1856,844,13,1
835-53-3219,630,15,4
763-66-8482,312,8,0
774-08-0385,548,8,2
841-25-5903,850,15,3
651-11-9221,648,7,2
649-25-0562,576,11,2
029-45-3928,847,15,4
536-17-0361,659,2,0
651-61-2762,691,14,4
,850,8,2
491-15-0166,776,3,1
079-36-4433,677,2,0
069-27-2504,659,14,2
498-86-1817,737,1,0
521-85-7205,832,15,5
752-58-3672,850,4,0
117-39-5445,805,2,0
443-15-0694,647,11,1
417-92-3644,660,3,0
255-37-3442,599,14,1
740-10-8318,745,14,2
805-32-3320,850,15,1
037-35-3366,550,15,0
469-59-5873,669,12,1
403-35-2488,821,6,1
664-27-7500,743,2,0
869-23-9874,465,15,3
842-12-1988,636,11,0
499-39-0056,649,11,1
247-22-6042,733,11,1
361-76-3892,613,10,1
546-69-3271,740,9,1
026-21-7570,680,10,3
712-25-4153,586,10,0
006-18-1778,833,10,2
135-74-1119,850,9,0
063-99-5887,604,5,1
261-76-6304,850,0,0
582-88-7402,764,6,0
152-41-3493,827,13,2
432-78-2965,850,4,0
250-15-3570,783,15,3
131-93-2345,736,7,0
654-46-8694,763,11,1
648-10-0123,850,6,1
643-83-1039,747,11,0
447-59-6935,601,8,1
052-82-9333,806,10,2
770-59-2345,796,13,1
029-66-6967,776,13,3
437-22-7942,717,11,3
827-87-1538,850,5,1
243-07-3303,751,7,0
896-50-1752,625,15,3
123-60-7622,796,11,2
297-84-9344,459,3,1
709-05-1648,850,8,2
860-13-0091,546,1,0
436-92-0062,682,10,3
119-34-7862,538,4,1
195-56-4199,449,14,4
389-88-5872,501,12,1
398-42-4300,539,3,1
074-21-4179,776,8,1
011-71-0695,673,13,3
345-73-0534,700,14,3
584-32-3526,756,12,4
484-02-3837,644,4,0
768-33-7113,850,1,0
282-13-9583,631,11,3
402-33-0321,756,4,1
520-86-7634,652,2,0
689-86-3482,688,8,0
778-23-7413,822,8,2
793-48-0610,711,6,0
182-84-2338,578,12,0
153-93-5800,850,9,1
,800,15,5
557-28-6265,789,9,1
282-18-4353,528,8,2
647-16-9206,850,2,0
809-15-0295,784,10,2
334-04-3192,799,1,0
886-54-1175,801,15,3
441-52-4249,615,5,1
073-60-5180,802,7,2
325-40-7446,724,1,0
672-94-7035,842,2,0
249-63-3776,636,4,1
470-62-6641,543,3,0
609-44-4534,801,8,0
433-22-1793,564,5,1
449-25-4114,356,12,4
,720,9,0
030-47-8801,760,10,1
437-31-2525,641,4,0
025-47-7955,637,14,4
501-70-5065,761,8,2
605-29-8020,523,8,1
661-57-1415,818,7,2
446-73-5043,656,5,1
408-11-9212,710,11,3
005-27-2350,834,6,0
057-38-4074,546,0,0
204-55-5045,562,2,0
412-77-5942,682,11,1
277-11-0612,300,15,0
365-52-3504,659,14,2
325-46-6213,712,6,0
778-41-3529,850,10,0
413-41-1144,695,4,0
590-89-0294,569,3,1
808-06-0435,359,12,3
005-45-9518,779,6,1
271-57-3665,850,9,3
335-77-4261,556,14,2
349-58-7232,639,14,3
238-78-0621,664,3,1
414-18-8035,519,11,3
605-08-3803,603,3,0
845-55-7137,356,8,1
059-57-1685,348,2,0
004-60-7316,721,6,0
445-46-7043,579,4,0
863-14-5075,645,4,0
342-99-8044,559,13,3
024-87-4248,682,14,2
306-44-9625,614,10,3
293-10-2166,678,11,3
248-54-6320,848,3,1
281-04-5922,497,11,0
506-67-0795,830,10,3
045-40-3059,631,0,0
224-55-1769,585,2,0
,617,14,2
158-28-0420,465,8,1
094-93-8139,739,4,0
883-02-9630,429,9,2
784-34-7322,845,11,3
581-76-5226,704,10,3
896-31-2589,613,15,0
122-94-1007,545,9,0
231-27-2002,581,12,2
650-95-5992,621,13,0
751-46-1747,783,9,3
312-60-3198,773,6,0
665-56-7236,678,10,0
512-92-4743,737,6,0
533-73-5884,785,0,0
327-47-5851,673,12,1
310-70-6181,416,11,0
551-47-5533,617,6,2
,616,6,0
479-32-3241,533,6,2
527-65-1803,554,15,5
768-21-6249,809,12,3
518-87-2829,537,13,3
232-91-3510,764,2,0
669-74-7296,800,1,0
432-25-6608,832,8,1
610-88-2027,733,5,0
010-52-6301,768,14,3
332-42-3582,468,6,2
332-65-2579,789,15,5
418-86-8234,585,8,0
465-68-7593,725,11,3
436-75-4648,669,5,1
789-34-6079,850,12,4
774-29-3428,793,2,0
721-41-7230,825,3,1
,694,8,0
855-60-5854,481,11,2
434-97-9328,672,8,2
703-96-1617,599,15,0
877-73-0713,780,13,0
513-81-6895,577,4,0
023-69-0861,642,13,2
403-67-8275,740,2,0
550-24-3997,714,11,0
304-18-5722,850,1,0
379-80-3117,591,10,2
167-11-8342,611,2,0
549-58-1994,715,2,0
056-80-4314,850,2,0
221-89-3360,850,10,2
857-02-6407,473,4,1
077-50-8437,582,0,0
302-60-9022,726,6,0
459-22-0713,706,11,0
811-20-2251,625,6,0
035-93-3142,795,11,3
487-03-3374,704,9,3
229-29-5721,850,0,0
365-04-0375,638,5,0
554-10-3427,850,11,1
343-37-7284,634,7,1
331-83-5644,434,10,0
553-28-0487,826,0,0
373-80-4484,789,11,1
371-50-0149,677,4,0
321-07-2138,783,8,0
483-46-0657,655,0,0
502-69-3081,490,13,2
723-57-1468,572,6,1
519-26-9049,772,5,1
527-78-6839,573,13,2
544-74-4322,398,9,0
441-83-9104,592,15,5
479-91-0524,818,10,2
851-70-7541,729,10,3
682-73-4824,740,13,1
288-07-2483,680,0,0
578-97-7446,558,12,3
367-77-7951,513,9,0
782-86-8851,590,15,4
,524,6,2
356-34-4874,674,11,1
768-54-2231,634,3,0
759-66-5401,382,8,1
592-26-7801,523,14,2
377-38-3904,521,14,2
702-41-0650,624,15,1
844-13-3077,609,3,1
846-42-8248,617,2,0
496-05-0323,722,7,2
769-58-8250,579,12,2
569-76-1521,451,10,3
560-42-2571,709,9,3
840-60-5876,579,8,2
214-94-6607,659,12,3
384-07-1603,681,8,2
765-03-6665,778,2,0
877-29-1917,649,4,1
389-87-8328,600,5,0
159-71-4576,664,1,0
297-36-6034,786,7,0
224-30-7543,814,3,0
539-34-1756,414,12,2
725-23-4716,494,13,0
114-22-9325,850,11,3
865-42-6172,790,12,1
379-43-2226,439,12,0
073-95-1831,497,12,1
619-77-6699,626,13,4
894-04-8495,503,6,2
082-83-5529,792,13,0
853-97-0996,559,2,0
172-67-5609,825,10,2
228-42-9445,339,5,0
276-46-2620,584,1,0
544-93-8754,665,13,3
850-78-7489,498,4,0
869-44-8232,764,8,2
463-37-8421,501,3,1
779-63-9915,665,10,1
024-77-0889,850,3,1
314-82-5301,850,9,3
695-49-2855,585,1,0
328-13-9618,615,2,0
020-41-7099,819,0,0
312-18-1648,461,2,0
878-80-1169,850,4,0
195-17-6822,605,15,1
833-65-7241,553,1,0
216-50-8823,694,3,0
177-25-4355,850,10,0
438-07-7405,772,9,0
472-12-1520,534,14,2
897-52-6739,808,0,0
191-51-6331,580,2,0
730-85-8224,671,8,2
748-90-7834,538,9,2
098-98-7684,581,1,0
280-16-3761,710,9,1
468-86-7898,474,3,1
248-27-7775,597,0,0
651-53-8578,474,1,0
,388,5,0
759-39-7466,487,13,4
266-71-0068,604,5,1
725-86-7765,779,14,1
799-13-1679,810,6,2
656-43-0039,554,15,2
884-28-0143,600,9,1
027-57-4521,563,14,2
501-06-8258,722,10,0
,802,9,2
601-71-9670,762,14,4
563-17-2502,703,15,0
505-42-1715,644,13,4
701-80-6695,750,0,0
238-07-3105,850,10,3
138-67-8924,743,3,1
291-19-3741,850,10,2
834-23-1638,850,1,0
195-03-0133,446,2,0
261-04-9805,850,1,0
283-87-1529,489,3,0
453-97-9883,850,4,1
090-10-7250,742,2,0
897-31-5101,736,14,0
601-03-2117,406,0,0
419-65-0771,675,2,0
616-20-3673,850,10,0
142-20-4206,393,7,2
612-96-0532,740,10,0
783-42-7273,703,1,0
519-48-8534,733,8,1
181-25-6735,850,9,1
393-44-8897,688,9,3
878-01-1845,481,5,0
359-71-3402,722,7,2
427-53-9110,691,8,1
668-68-2566,797,11,2
147-19-4323,850,13,1
676-67-9305,785,9,3
778-84-0579,626,9,3
122-07-9405,450,1,0
774-08-5532,330,14,4
,726,12,4
297-56-1194,822,8,1
896-51-1895,679,12,0
131-02-2443,848,8,1
466-07-4298,850,4,1
616-82-8025,704,8,2
334-58-0023,850,15,2
348-01-3259,760,5,0
593-31-4675,719,0,0
535-92-0211,793,0,0
720-32-2005,480,4,1
529-83-5522,808,8,0
743-64-2406,507,15,3
,435,2,0
284-07-5527,736,1,0
590-66-7869,492,8,1
789-07-3230,704,1,0
842-29-4333,850,7,1
532-53-0144,850,0,0
341-76-1805,850,13,3
257-44-5174,502,14,0
299-75-2846,850,11,2
151-54-5776,768,13,4
151-42-1599,821,9,1
698-53-5594,842,7,0
467-45-5599,351,10,1
384-35-3095,596,13,4
012-42-1115,634,14,1
144-94-9483,850,9,3
883-47-9258,737,2,0
407-22-0749,825,7,1
376-86-1185,415,7,0
041-08-7486,850,9,2
628-83-3747,324,2,0
037-91-9425,844,8,1
454-91-2128,750,11,2
453-55-3834,625,3,0
,759,4,1
701-98-3784,496,12,0
637-06-5108,666,9,3
176-66-5738,735,6,0
496-55-8249,717,6,0
792-57-4715,678,11,1
139-66-5230,520,4,1
829-86-3692,626,6,0
844-62-4899,593,0,0
267-34-3865,580,9,0
533-66-0783,576,11,2
809-90-0653,554,10,2
670-12-2058,711,4,1
008-72-9553,578,8,0
045-95-2896,736,1,0
080-66-6554,850,2,0
768-38-8093,836,6,0
667-61-3480,675,1,0
643-19-7404,429,2,0
,300,3,1
759-71-7726,729,8,1
,641,15,5
818-61-3444,476,15,4
046-39-9855,575,12,4
354-88-6324,676,10,2
449-38-4987,850,3,1
714-33-1051,718,13,3
,616,4,1
657-12-6045,846,1,0
692-21-2582,676,13,3
356-71-3318,589,9,2
269-96-1787,675,12,1
216-88-6279,579,8,0
617-39-9822,807,10,2
543-23-2822,650,4,1
427-55-3770,850,9,2
572-93-8916,723,9,0
599-59-5547,494,4,1
311-66-3815,850,14,0
406-28-9749,663,9,2
241-54-9929,831,7,2
155-62-4059,775,13,0
798-76-4062,679,14,1
190-70-4449,742,1,0
205-12-4946,732,6,2
544-30-8235,755,15,0
796-94-0277,850,12,2
,597,5,1
849-67-9311,604,10,1
773-32-9659,372,6,0
665-97-8297,850,0,0
415-07-3262,768,3,1
286-19-3607,572,8,2
116-21-0844,693,13,0
210-31-2513,627,12,2
171-91-9150,463,9,3
646-79-6007,584,0,0
766-55-3238,536,3,1
326-71-3239,591,8,1
257-55-0146,798,9,1
728-95-5063,582,10,1
757-06-2146,850,13,4
610-77-4566,765,13,4
481-99-7118,791,10,2
281-48-9583,773,13,2
050-08-3424,536,1,0
618-06-4783,797,6,1
032-30-5306,600,9,0
357-35-6406,632,8,2
782-59-6032,823,5,1
783-17-9253,850,2,0
037-88-9782,844,0,0
468-47-8407,300,5,1
,536,5,1
,579,15,4
873-64-3831,300,13,3
642-56-1676,520,0,0
434-27-8510,671,11,2
284-37-5543,630,12,3
864-93-1518,799,12,2
249-94-0048,565,6,2
296-35-7180,731,9,3
614-57-2424,559,5,0
281-68-7944,553,9,0
287-90-5388,428,5,0
060-50-7283,730,1,0
211-11-8674,587,1,0
890-01-9614,794,1,0
470-62-3314,770,5,1
864-27-9588,651,12,0
361-47-1109,724,9,1
795-33-0786,850,5,0
058-13-0700,682,7,1
308-32-0047,799,10,3
670-05-0316,719,3,1
162-63-1230,740,13,3
637-49-1276,563,3,1
850-26-9428,587,12,0
058-24-1928,850,5,1
454-15-4402,592,5,1
517-49-3994,850,11,2
245-55-1226,701,8,2
652-52-1736,625,5,1
617-71-5265,621,10,3
460-26-7191,763,11,0
839-53-5176,812,7,0
,598,2,0
855-02-3133,627,12,0
130-03-8477,456,3,0
036-56-0067,773,2,0
287-63-2005,842,4,1
,646,11,2
488-90-0375,661,12,1
637-72-8041,785,6,1
505-78-6209,824,0,0
065-43-2928,850,8,0
197-93-2740,707,3,0
560-87-6191,708,11,3
340-41-2414,736,8,1
130-53-8267,736,4,1
647-06-0888,600,5,1
015-21-7349,599,9,0
114-94-6498,714,3,1
080-04-5377,566,9,1
868-18-3874,791,15,3
253-44-1186,571,8,2
652-60-1006,662,13,3
621-76-7091,766,0,0
300-72-6381,850,0,0
287-69-0560,837,13,0
059-61-4662,659,12,0
800-23-9912,850,12,4
572-17-4705,776,4,1
131-16-1431,625,5,1
238-66-1634,801,1,0
161-29-5512,706,11,0
310-94-7228,477,9,3
837-35-7894,750,9,2
126-65-3523,598,0,0
776-67-1458,563,6,1
079-21-9861,561,9,3
117-39-5111,392,7,1
572-90-8207,850,0,0
813-74-4601,649,8,2
732-93-4642,597,10,3
189-67-8635,527,13,3
659-78-0337,524,5,0
274-52-7198,749,7,2
696-90-9264,335,10,0
428-35-5001,850,8,0
019-58-6305,846,3,1
133-18-4444,635,9,3
366-64-9796,814,13,2
513-18-1524,741,13,0
020-28-2863,499,5,1
174-05-5125,592,13,1
037-64-1871,575,7,1
026-57-3225,632,5,1
716-03-4461,719,4,1
355-72-0332,562,14,1
024-75-1350,850,10,0
667-44-2947,619,13,3
894-99-0755,323,0,0
679-54-5730,691,9,0
080-18-3832,521,2,0
168-40-2011,741,9,2
431-60-7163,652,6,1
586-15-7845,837,12,4
093-79-0425,618,14,0
730-42-5581,850,3,0
529-96-5111,727,5,0
182-90-1777,668,2,0
381-81-8302,597,14,3
253-69-9121,670,5,0
046-71-7617,829,7,0
016-13-7155,632,14,3
734-16-7836,733,10,2
266-97-2032,705,14,0
766-84-3140,827,7,0
077-04-7878,731,1,0
689-89-2328,402,3,0
558-83-5334,759,9,0
212-59-7863,414,12,1
782-09-0660,723,9,0
202-07-1253,614,5,0
779-30-1286,692,0,0
425-49-0643,717,7,0
774-76-8387,633,12,2
058-83-4678,474,15,2
029-96-9724,828,1,0
367-28-2045,656,3,0
746-41-3205,581,10,0
144-32-5181,848,4,0
464-72-8786,611,11,2
765-63-5207,833,1,0
362-44-1804,726,13,1
822-01-6150,850,15,3
657-27-2633,758,0,0
256-80-5748,583,6,1
687-72-6369,503,15,0
322-72-9311,640,0,0
765-33-8166,727,9,1
076-94-9815,600,11,1
476-51-6349,850,6,1
292-88-9625,507,11,1
866-38-8341,569,13,4
545-06-8444,713,2,0
688-87-7636,504,11,3
474-31-0456,744,7,1
075-53-8434,687,7,2
061-64-4509,497,14,2
646-04-8927,691,3,0
638-03-1114,739,1,0
630-04-0217,327,3,0
657-17-2353,734,12,3
,850,8,0
281-55-1753,790,15,1
321-18-1516,744,12,3
236-03-9861,599,15,1
131-78-8923,769,11,1
195-84-9302,578,12,1
481-74-1956,675,0,0
424-39-5873,786,9,2
414-84-0891,688,11,0
746-99-7824,557,13,3
035-80-1191,396,11,2
584-63-8299,850,11,0
111-07-5997,570,3,0
340-10-0289,760,0,0
214-71-5505,766,5,0
407-48-4660,515,12,1
,600,3,1
112-99-5582,849,5,0
893-03-2393,819,7,2
043-76-9113,819,0,0
558-88-4435,651,12,4
884-14-6246,559,3,0
708-92-7694,766,4,0
164-76-9489,776,12,1
114-72-6712,803,10,3
679-01-4372,487,6,1
389-72-3441,745,0,0
400-27-3460,706,14,2
652-72-8325,588,15,0
,621,6,2
268-89-8824,704,3,0
500-85-9673,500,6,2
056-92-1290,850,14,1
288-67-5157,584,8,0
229-58-4903,501,4,1
213-80-7505,850,15,2
013-53-4151,727,6,2
153-24-5275,762,7,1
419-58-1822,502,14,1
